排名,icon,选手,比赛场次,胜场,胜率,场均KDA,场均击杀数,场均死亡数,场均助攻数,场均经济,分均经济,经济占比,场均伤害,分均伤害,伤害占比,伤害转化率,场均承伤,分均承伤,承伤占比,场均推塔数,推塔占比,参团率,场均比赛时长
1,https://smobatv-pic.tga.qq.com/38e591cf1ed8efa83ea56f34bbb88af7.png,花月,1,1,100%,9(5 / 1 / 4),5,1,4,7554,755,21%,49291,4518.5,21.8%,103.9%,23929,1832.3,14.8%,3,37.5%,75%,00:10:55
2,https://smobatv-pic.tga.qq.com/b3dcd48a50cc8b4fd2a3479614157382.png,自渡,1,1,100%,8(1 / 0 / 7),1,0,7,6322,632,17.6%,31683,2904.3,14%,79.8%,51490,4251.1,34.3%,1,12.5%,66%,00:10:55
3,https://smobatv-pic.tga.qq.com/c5f03a87d36aef19a400d1d09365a35a.png,无铭,2,2,100%,11.5(0 / 1 / 11.5),0,1,11.5,6248.5,475,13.6%,19384.5,1341.6,6.4%,47.1%,50835.5,3075,23.2%,0.5,6.2%,77.5%,00:14:26
4,https://smobatv-pic.tga.qq.com/de4b9d54a1c9bfdffea83e29080e0aa9.png,归期,6,5,83.3%,5.3(2.5 / 1.3 / 4.3),2.5,1.3,4.3,9835.1,649.5,19.7%,51265.6,3202,17.5%,89.8%,72338.8,3703.2,22.5%,1.1,14.5%,62.5%,00:15:28
5,https://smobatv-pic.tga.qq.com/3131a3a52761b06dcb89c5ab7f66e52e.png,风劫,5,4,80%,4.2(3.6 / 2.6 / 5.4),3.6,2.6,5.4,13112.8,743,23.7%,97282.4,5247.4,26.6%,112.1%,70503,2951.7,16.1%,3.6,47%,73.4%,00:18:27
6,https://smobatv-pic.tga.qq.com/63c9ee50a54d077c0d7af79e59c0b7cc.png,月色,8,6,75%,5.1(0.5 / 1.6 / 6.8),0.5,1.6,6.8,10407.1,603.6,19.2%,116158.1,6026.9,28.6%,148.2%,46715.5,2136.2,11.9%,0.1,1.3%,65.8%,00:17:60
7,https://smobatv-pic.tga.qq.com/a2a8b6d77f5f3f921406de464abe3216.png,钟意,11,8,72.7%,6.2(3 / 1.7 / 5),3,1.7,5,12402.3,743.9,23.9%,57220.6,3316.3,16.9%,72.4%,97741.9,3933.8,21.7%,1.1,19.1%,69%,00:16:60
8,https://smobatv-pic.tga.qq.com/60d74420e4df0e080b29c307368dacc6.png,帆帆,60,42,70%,7.1(0.8 / 1.2 / 8.1),0.8,1.2,8.1,7110.5,454.3,14.5%,38638.1,2241.5,10.8%,75.2%,71765.4,3672.4,21.4%,0.1,2.8%,79.8%,00:16:17
9,https://smobatv-pic.tga.qq.com/ca303f0f42b7ce8619dc433c3ed69b23.png,妖刀,75,52,69.3%,6(3.2 / 1.4 / 4.6),3.2,1.4,4.6,11987.5,756.5,24.3%,88852.2,5265.2,26.4%,107.8%,62970.5,2837.4,16.4%,2.5,38.9%,70.4%,00:16:25
10,https://smobatv-pic.tga.qq.com/a5f65ff7a7665af4718b90f48b76789c.png,小胖,64,44,68.7%,5.4(2.7 / 1.6 / 4.6),2.7,1.6,4.6,11793.1,750,24%,64148.5,3941.9,20%,84.2%,97764,4186.4,24.5%,1.2,22%,70.5%,00:16:18
11,https://smobatv-pic.tga.qq.com/3109a021ad37fbc536c5dc51405b8654.png,向鱼,67,46,68.6%,6.2(2.2 / 1.2 / 5.2),2.2,1.2,5.2,8693.5,554.1,17.8%,92274.1,5483.4,27%,151.3%,38256.8,2009.7,11.4%,0.3,4.9%,66%,00:16:13
12,https://smobatv-pic.tga.qq.com/5cd022c1258f158b76b9856a9fb52389.png,Fly,69,47,68.1%,4.7(1.9 / 1.7 / 4.7),1.9,1.7,4.7,9333.5,591.2,19%,53718,3201.7,15.9%,83.6%,92917.1,4485.6,26%,1.2,17.8%,59.6%,00:16:29
13,https://smobatv-pic.tga.qq.com/36ee63cce8a0061c6c2d887f2ebbe622.png,一笙,15,10,66.6%,6.3(0.9 / 1.5 / 7.8),0.9,1.5,7.8,7272.8,448.8,14.6%,34947.3,1997.5,10.2%,70.1%,92714,4731.2,24.8%,0,0.7%,85.7%,00:16:53
14,https://smobatv-pic.tga.qq.com/34b847d9d4acf1fb377d2b4fd50af251.png,誓约,29,18,62%,4(2.1 / 2 / 3.8),2.1,2,3.8,9791.5,620.3,19.9%,44036.7,2672.7,15.6%,79.5%,85698.4,4263.1,23.9%,0.7,13.4%,68.6%,00:16:29
15,https://smobatv-pic.tga.qq.com/2a4ea3d4cca408009c033f13509ed748.png,一门,17,10,58.8%,6.7(0.6 / 1.2 / 7.2),0.6,1.2,7.2,7622.2,483.6,15.2%,26492.1,1567.5,8.9%,58.4%,79300.3,3947.8,24.4%,0,0.7%,82.7%,00:16:33
16,https://smobatv-pic.tga.qq.com/2109f8770f35fe7af93e8e2866bb393d.png,乔兮,81,46,56.7%,4.9(2.8 / 1.6 / 3.9),2.8,1.6,3.9,12617.8,766.7,24.6%,86342.6,4872.9,27.9%,113%,62626.5,2779.3,15.6%,2.6,42.7%,64.3%,00:17:06
17,https://smobatv-pic.tga.qq.com/14541912d6728e93c66a42a23bf32cfe.png,花卷,81,46,56.7%,5.2(2 / 1.5 / 4.9),2,1.5,4.9,9345.4,563.9,18.1%,88657.4,5068.8,28.7%,157.8%,43114.5,2173.3,12.1%,0.1,2.3%,70.2%,00:17:06
18,https://smobatv-pic.tga.qq.com/b762a5abeaa00cd1da6fdd77c490161b.png,暖阳,81,46,56.7%,4.4(2.8 / 1.9 / 4),2.8,1.9,4,12184.8,740,23.6%,55187.9,3135.1,17.7%,75.5%,93275.3,3787.7,21%,1.1,15.9%,67.8%,00:17:06
19,https://smobatv-pic.tga.qq.com/6031efec47f5ad279253f962635a0ecc.png,星宇,81,46,56.7%,5.9(0.5 / 1.4 / 7),0.5,1.4,7,7515.7,458.1,14.7%,24288.2,1440.6,8.2%,56.1%,85062.3,4222.7,23.3%,0.1,2.8%,74.3%,00:17:06
20,https://smobatv-pic.tga.qq.com/8d45528e4577c5ecb17f2aa37a78dde4.png,梓墨,81,46,56.7%,4.5(1.7 / 1.8 / 4.7),1.7,1.8,4.7,9598.9,584.1,18.8%,51998.2,3007.6,17.2%,92.8%,102158.2,4897.5,27.7%,0.8,14%,61.2%,00:17:06
21,https://smobatv-pic.tga.qq.com/6d899f90a771b5aef541a5c548363764.png,九尾,71,40,56.3%,5.4(1.7 / 1.5 / 5.4),1.7,1.5,5.4,9142.1,563.6,18%,84601.6,4952.3,27.1%,150.7%,40878.7,2058.9,12%,0.2,3.7%,69%,00:16:53
22,https://smobatv-pic.tga.qq.com/ce86be8444a4587fd6a5201d2a1fb4ed.png,不然,71,40,56.3%,4.9(3.2 / 1.7 / 4),3.2,1.7,4,12731.4,782.8,24.9%,51794.2,3035.3,16.9%,68.3%,83303.9,3347.4,20%,0.7,12%,69%,00:16:53
23,https://smobatv-pic.tga.qq.com/cd3b48b9f8fe8e96abab73573cd83965.png,风箫,71,40,56.3%,4.3(2.5 / 2.1 / 4.2),2.5,2.1,4.2,12308.9,753.3,24%,90852.2,5190.3,28.6%,118.8%,64742.3,2921.6,17.6%,2.6,40.6%,64.7%,00:16:53
24,https://smobatv-pic.tga.qq.com/eb48fec336a3035bbaff57bda95d65c5.png,阿豆,71,40,56.3%,5.8(0.5 / 1.7 / 7.5),0.5,1.7,7.5,7261.1,448,14.2%,32722.9,1838.2,10.1%,71%,75589.7,3818,22.5%,0,1.2%,75%,00:16:53
25,https://smobatv-pic.tga.qq.com/42c878fddfd0d188f155b6c497e0c5c8.png,清清,71,40,56.3%,4.7(2.2 / 1.7 / 4.9),2.2,1.7,4.9,9600.8,587.9,18.7%,52293.7,3049.2,17%,91.3%,94515.6,4625.2,27.6%,0.7,13.6%,68.4%,00:16:53
26,https://smobatv-pic.tga.qq.com/5933ec732ac62f3a76813239d4217ae4.png,早点,87,48,55.1%,5.5(1.4 / 1.2 / 5.3),1.4,1.2,5.3,8944,536.6,17.5%,97258.9,5396,28.9%,163.8%,40811.8,2015,11%,0.1,3%,70.7%,00:17:20
27,https://smobatv-pic.tga.qq.com/e1906088d0ae9e9d2c0c2ae4933748fd.png,未央,53,29,54.7%,4.1(2.3 / 1.7 / 3.1),2.3,1.7,3.1,11551.7,723.7,23.1%,44780.9,2686.6,15.6%,68.8%,80753.7,3395.4,20.3%,0.6,10.8%,64.9%,00:16:31
28,https://smobatv-pic.tga.qq.com/c887c33254a27e4b6990f4c52f33d9df.png,Cat,85,46,54.1%,4.3(0.4 / 2.2 / 6.4),0.4,2.2,6.4,7336.2,440.6,14.4%,28751.5,1629.8,8.9%,62.2%,95358.4,4800.7,26.5%,0.1,2.5%,75.5%,00:17:18
29,https://smobatv-pic.tga.qq.com/1dc617e6ee4edc26f834b370dd0fb879.png,绝意,85,46,54.1%,4.2(2.9 / 1.7 / 3.4),2.9,1.7,3.4,12438,747,24.4%,88220.9,4924.6,26.7%,108.4%,60284.1,2620.8,14.5%,2.4,40.9%,68.4%,00:17:16
30,https://smobatv-pic.tga.qq.com/a9d72875be343eaa9ece04de5c15c04d.png,小落,89,48,53.9%,3.9(2.2 / 2.1 / 4.1),2.2,2.1,4.1,10475.5,634.2,20.7%,57812.1,3309.5,18.2%,87.9%,92309.9,4358.7,24.2%,0.8,17.7%,69.5%,00:17:15
31,https://smobatv-pic.tga.qq.com/8bc3ee8cf44809ac7f6cf9f3db18bfbd.png,赤辰,89,48,53.9%,3.8(1.9 / 2 / 4.2),1.9,2,4.2,11582.8,696.3,22.7%,53945.2,3113.4,17.2%,76.3%,98703.7,4235.2,24%,0.8,15.2%,64.5%,00:17:15
32,https://smobatv-pic.tga.qq.com/11872ff2e53bc3fc33d028cc9daf749d.png,花海,78,42,53.8%,5.1(3.3 / 2 / 4.6),3.3,2,4.6,12672.8,774.5,25.1%,55614.6,3303.2,17.4%,70.2%,89348.1,3706.6,21.8%,1.1,15.4%,70.8%,00:16:59
33,https://smobatv-pic.tga.qq.com/fabf19fb0188947220f55e0a309fe101.png,子阳,78,42,53.8%,6.6(0.7 / 1.7 / 8.3),0.7,1.7,8.3,7243.8,442.5,14.3%,32841.9,1869.1,9.7%,67.5%,65748.6,3362.2,19.5%,0.1,1.6%,80.1%,00:16:59
34,https://smobatv-pic.tga.qq.com/ade9f2ceee080e3d63dad74b30d252d6.png,坦然,78,42,53.8%,4.9(1.9 / 1.9 / 5.6),1.9,1.9,5.6,9101.1,565.2,18.2%,49505.5,2969.8,15.7%,85.9%,95057.3,4675,27.5%,0.8,11.6%,66.6%,00:16:59
35,https://smobatv-pic.tga.qq.com/47426b6d08ba1b9eb5d9ae750dba2e1d.png,清融,78,42,53.8%,5.8(2.1 / 1.8 / 6.2),2.1,1.8,6.2,9154.6,561.1,18.1%,100653.8,5842.1,30.5%,168%,48426.2,2435.8,14.2%,0.2,4%,74.7%,00:16:59
36,https://smobatv-pic.tga.qq.com/f6bfc9197e6dc0dfe8ffcac26544c8b8.png,言梦,28,15,53.5%,5.4(0.5 / 1.8 / 7.2),0.5,1.8,7.2,6949.6,414.3,13.4%,31599.2,1789.3,10.1%,76.2%,83913.9,4256.9,24%,0.3,5.6%,77.2%,00:17:21
37,https://smobatv-pic.tga.qq.com/5ce064c461a25bc1594d17a707e975a4.png,今屿,45,24,53.3%,4.6(2.4 / 1.8 / 3.9),2.4,1.8,3.9,12610.5,775,25.2%,57800.3,3322.1,19%,76.4%,94098.7,3853.2,21.5%,1.1,18.8%,67.9%,00:17:02
38,https://smobatv-pic.tga.qq.com/d650a1c4a421465ea1324f85691432cd.png,傲寒,77,41,53.2%,3.9(2.4 / 1.9 / 3.7),2.4,1.9,3.7,12076.8,755.3,24.5%,85885.6,5049.2,28%,112.5%,58655.4,2657.3,14.7%,2.8,47.5%,66.5%,00:16:15
39,https://smobatv-pic.tga.qq.com/c9bd1afee0b367315b98a831f1389c99.png,铃铛,47,25,53.1%,4.5(1.5 / 1.3 / 4.4),1.5,1.3,4.4,9489.4,608.6,19.8%,94245.5,5577.6,31%,159.2%,42293.4,2178.9,11.8%,0.9,18.4%,69.5%,00:16:19
40,https://smobatv-pic.tga.qq.com/9e2b874427ddb2f23452748c340b266a.png,梦岚,91,48,52.7%,4.9(2.5 / 1.6 / 3.9),2.5,1.6,3.9,12567.7,760,24.6%,87991.1,5021.2,30.1%,120.5%,62877.7,2775,16.3%,1.8,30.4%,73.3%,00:16:51
41,https://smobatv-pic.tga.qq.com/37f7d0359012b5e38e44202f686f271e.png,百兽,91,48,52.7%,3.9(1.3 / 1.9 / 4.4),1.3,1.9,4.4,9178.6,557.7,18.1%,39553,2296.6,13.7%,75%,90759.7,4459.7,26.3%,0.6,13.1%,65.2%,00:16:51
42,https://smobatv-pic.tga.qq.com/03d1c607fdee6e1f4526d9568ae165d8.png,青枫,91,48,52.7%,4.9(1.5 / 1.4 / 4.7),1.5,1.4,4.7,9083.8,548.5,17.7%,85344.4,4866.2,28.9%,161.1%,43714.6,2241.6,13.1%,0.1,3.4%,69.7%,00:16:51
43,https://smobatv-pic.tga.qq.com/faac4faa28d92bddc3e143afdd057921.png,阿改,91,48,52.7%,5.4(0.6 / 1.4 / 6.3),0.6,1.4,6.3,7505.1,454.7,14.7%,26501.5,1503.6,8.8%,59.8%,70767.4,3612.9,20.8%,0.2,5.1%,79.5%,00:16:51
44,https://smobatv-pic.tga.qq.com/9573fcc4b7d8805532f762ed6785edaa.png,鹏鹏,91,48,52.7%,3.9(2.5 / 1.9 / 3.5),2.5,1.9,3.5,12071.6,730.8,23.6%,49479.5,2847.1,17.2%,72.7%,90862.1,3734.4,22.1%,1.1,20.5%,68.7%,00:16:51
45,https://smobatv-pic.tga.qq.com/f50df692e9332268fc0461bc15dc09fb.png,易峥,73,38,52%,5(2.9 / 2 / 4.8),2.9,2,4.8,12098.6,742.9,24%,88326.6,5023.2,26.5%,109.4%,63834,2841.9,16.7%,3.1,50.4%,70.7%,00:16:53
46,https://smobatv-pic.tga.qq.com/0588a8dd00258118b5cf1fcb610556af.png,无畏,89,46,51.6%,3.6(1.8 / 1.9 / 3.6),1.8,1.9,3.6,11187.3,709.4,23%,52654,3125.8,17.5%,76.5%,94422.9,4259.3,24%,0.9,14.6%,62.1%,00:16:04
47,https://smobatv-pic.tga.qq.com/d6d8526e6342b92e8d01233ccbd5df94.png,Roc,43,22,51.1%,4.6(3 / 1.7 / 3.5),3,1.7,3.5,12799.4,775.1,24.9%,86479.1,4934.7,28.2%,112.8%,62965.7,2822.9,15.7%,2.6,46.9%,65.5%,00:16:60
48,https://smobatv-pic.tga.qq.com/73a963d37fbc9af5d839d39b2075874b.png,柠栀,43,22,51.1%,4.3(1.5 / 1.6 / 4.4),1.5,1.6,4.4,9119.3,551.7,17.7%,44119.4,2576,14.8%,83.8%,102274.7,5145.2,28.8%,0.2,5.4%,66.2%,00:16:60
49,https://smobatv-pic.tga.qq.com/fd5ccf7df062feca229a9d5f47fccd2d.png,Ming,43,22,51.1%,4.8(1.7 / 1.6 / 5.3),1.7,1.6,5.3,9493.8,580.2,18.6%,93480.5,5428.7,31.3%,167.7%,45783.7,2353.3,13.1%,0.3,5.6%,73.6%,00:16:60
50,https://smobatv-pic.tga.qq.com/0bc827584405baaceb878f98453ff248.png,玄影,43,22,51.1%,3.6(2.2 / 2.1 / 3.6),2.2,2.1,3.6,12667.9,774.5,24.8%,47321.7,2701.6,15.4%,63%,82429.8,3281.3,18.4%,1.4,24.8%,57.5%,00:16:60
51,https://smobatv-pic.tga.qq.com/28b0c1c86bba11d3777e41deef12d105.png,啊泽,69,35,50.7%,3.8(1.4 / 2 / 4.5),1.4,2,4.5,9095.5,539.2,17.5%,42890,2419.1,13.7%,77.2%,103015.2,5071.2,28.1%,0.6,11.8%,63.6%,00:17:25
52,https://smobatv-pic.tga.qq.com/a53645eda564019b8c18572522170a01.png,小A,69,35,50.7%,5.6(0.6 / 1.4 / 6.8),0.6,1.4,6.8,7478.1,444,14.5%,33618.3,1917,10.6%,73.4%,81892.6,4158.3,22.8%,0.1,1.8%,82.5%,00:17:25
53,https://smobatv-pic.tga.qq.com/e97d18a7b189150074b0bf345e748842.png,小玖,69,35,50.7%,4.4(3 / 1.6 / 3.5),3,1.6,3.5,13365.4,791.4,25.8%,86252.4,4783.1,27.7%,107.2%,58585.3,2597.5,14.3%,2.6,43%,69.2%,00:17:25
54,https://smobatv-pic.tga.qq.com/beb7d3d855278db7fc92dbd7952432a8.png,一曲,69,35,50.7%,5.1(1.3 / 1.2 / 4.9),1.3,1.2,4.9,8923.2,532,17.4%,91323.6,5106.6,29.3%,168.5%,43375.6,2171.8,11.9%,0.1,1.3%,68.7%,00:17:25
55,https://smobatv-pic.tga.qq.com/2ee59d91feade6c3b6e42e74d289ec44.png,久酷,91,46,50.5%,5.5(0.7 / 1.2 / 6.2),0.7,1.2,6.2,6839.9,435.7,14.2%,26003.7,1587.3,9%,63.3%,74120.4,3956.4,21.8%,0.1,1.8%,79.9%,00:16:03
56,https://smobatv-pic.tga.qq.com/12d0811490492112e295bd0409324003.png,江城,4,2,50%,5.5(1.7 / 1.7 / 4.7),1.7,1.7,4.7,11990.5,717,23.7%,63027,3721.8,23.7%,97.6%,53795,2666.8,14.9%,3.2,54.2%,66.2%,00:17:03
57,https://smobatv-pic.tga.qq.com/831ad155e862a0da8c048c80ae873aaf.png,小崽,4,2,50%,6.3(0 / 0.7 / 6.5),0,0.7,6.5,7121.7,457.7,15.5%,21181.7,1319,7.8%,50.2%,56979.5,3123.2,16.7%,0.2,3.1%,93.7%,00:15:59
58,https://smobatv-pic.tga.qq.com/3c367d6e5ca7a2b79a685f05a1eb8589.png,An,8,4,50%,3.6(1.2 / 2.5 / 5),1.2,2.5,5,7786,460.2,15.1%,41054.7,2335.7,14%,93.2%,139448.7,6842.4,36.3%,0.6,13.9%,67.1%,00:17:38
59,https://smobatv-pic.tga.qq.com/d7d43bc95a455c4acdc95c1a498e7ef2.png,晨风,8,4,50%,5.7(0.8 / 1.1 / 5),0.8,1.1,5,7661.8,516.7,17.1%,82041,5394.9,30.9%,179.8%,40496.3,2315.1,13.7%,0,0%,64.3%,00:15:37
60,https://smobatv-pic.tga.qq.com/dee0b1d9815975dc77abc3f6beee2cf6.png,夏竹,76,37,48.6%,4.4(0.4 / 1.8 / 6),0.4,1.8,6,7141.6,448.7,14.4%,27405.4,1619.9,9.3%,65.1%,74777.3,3996.3,23.4%,0.1,2.4%,80.2%,00:16:31
61,https://smobatv-pic.tga.qq.com/7115f6074ac26e71cc3c750cdcd15ae0.png,忆安,76,37,48.6%,3(1.3 / 2 / 3.6),1.3,2,3.6,9023.6,561.2,18%,40360.9,2403.3,13.7%,76.3%,86828.9,4488,26.7%,1.1,18.8%,58.8%,00:16:31
