排名,icon,选手,比赛场次,胜场,胜率,场均KDA,场均击杀数,场均死亡数,场均助攻数,场均经济,分均经济,经济占比,场均伤害,分均伤害,伤害占比,伤害转化率,场均承伤,分均承伤,承伤占比,场均推塔数,推塔占比,参团率,场均比赛时长
62,https://smobatv-pic.tga.qq.com/d8f8ea8bf065993c5a039129c836e113.png,长生,76,37,48.6%,4.4(1.5 / 1.3 / 4.1),1.5,1.3,4.1,9100.2,567.4,18.2%,95967.8,5690.4,32.7%,180.3%,44238.4,2360.2,14%,0.3,4.1%,69.1%,00:16:31
63,https://smobatv-pic.tga.qq.com/0d8d108ab2c3a10240430bbecce51e2f.png,一诺,76,37,48.6%,4.1(2.4 / 1.6 / 3.5),2.4,1.6,3.5,12704.8,794,25.6%,81580.6,4892.5,28.4%,110.8%,59199.3,2715.7,16.1%,2.7,44.2%,72.3%,00:16:31
64,https://smobatv-pic.tga.qq.com/4d3742c88bdd31560a43ff09ab5e2783.png,冰然,35,17,48.5%,2.9(1.9 / 2.5 / 3.3),1.9,2.5,3.3,12012.3,706.1,22.9%,49846.1,2739.4,16%,69.5%,90473.8,3605.7,20%,1,18.8%,60.4%,00:17:47
65,https://smobatv-pic.tga.qq.com/eca2317db974f302eeeadb7718d4002c.png,556,46,22,47.8%,4.8(0.6 / 1.9 / 6.3),0.6,1.9,6.3,7476.9,439.8,14.4%,26606.6,1422,8.2%,57.4%,87389,4331.3,23.5%,0.1,2%,80.5%,00:17:44
66,https://smobatv-pic.tga.qq.com/6476ebef7ce9703c7d6a9eef1973b92c.png,佩恩,47,22,46.8%,4.5(2.7 / 1.4 / 3.4),2.7,1.4,3.4,13412.2,779.7,25.6%,90827.1,4904.9,28.2%,109.8%,63805.8,2742,14.9%,2.4,45.5%,67.3%,00:17:48
67,https://smobatv-pic.tga.qq.com/276858cb556f317c2b5ba8735800da28.png,千世,47,22,46.8%,4(1.2 / 2 / 4.9),1.2,2,4.9,9408.4,546.7,17.9%,103696.3,5553.4,31.5%,174.6%,53455.5,2607.4,14.1%,0.2,3.6%,68.4%,00:17:48
68,https://smobatv-pic.tga.qq.com/988d4be506b65f5de79bd2598d2baa2c.png,爱思,15,7,46.6%,6.1(1 / 1.6 / 5.9),1,1.6,5.9,7075.3,455,14.4%,26492.9,1598.5,10%,69.8%,81607,4213.6,23%,0,0.8%,76%,00:16:22
69,https://smobatv-pic.tga.qq.com/a94ae4eeea3d9a98a5bf286c302e26f2.png,小夜,69,32,46.3%,3.3(2.1 / 1.9 / 3),2.1,1.9,3,12134.8,735.2,24.9%,52653.9,3050.9,19.1%,77.5%,85911.6,3612.8,20.5%,0.7,13.1%,63.5%,00:16:50
70,https://smobatv-pic.tga.qq.com/b56f5210f974dc282e71b4ed4b79d16a.png,梓轩,67,31,46.2%,3.6(1.5 / 2.1 / 3.6),1.5,2.1,3.6,8352.4,510.3,17.3%,39159.2,2318.3,14.2%,82%,88443.2,4521.3,25.4%,0.4,7.4%,62.5%,00:16:55
71,https://smobatv-pic.tga.qq.com/04300319226899b16d9e7ade24d6e314.png,以然,52,24,46.1%,3.4(2 / 2.2 / 3.6),2,2.2,3.6,12145.3,699.7,23.4%,50132.4,2785,16%,69.6%,85193.8,3563,19.6%,0.5,12.6%,60.9%,00:17:55
72,https://smobatv-pic.tga.qq.com/d9c3b3c3ef3da4614fb778678ce840a2.png,仙语,39,18,46.1%,3.3(1.8 / 2.4 / 3.9),1.8,2.4,3.9,10045.6,575.8,18.9%,50901.8,2785.5,16.3%,86%,96918.6,4739.7,26.1%,0.7,17.6%,64.8%,00:17:50
73,https://smobatv-pic.tga.qq.com/48a2ded453710c49b80989954dea1922.png,情缘,61,28,45.9%,5(1.7 / 1.5 / 5.2),1.7,1.5,5.2,9166,553.2,18%,100121.9,5600.3,30.8%,171.5%,45333.7,2390.4,12.7%,0.1,2.2%,72%,00:17:07
74,https://smobatv-pic.tga.qq.com/cca0e32562495551f243e1f92274e547.png,小久,61,28,45.9%,5(2.9 / 1.5 / 3.9),2.9,1.5,3.9,12914.2,778.7,25.3%,92009.8,5234.4,29.2%,115.1%,62119.2,2807.2,14.8%,3.4,56%,70.2%,00:17:07
75,https://smobatv-pic.tga.qq.com/47767bd2507a965cf4c38eabb91b8e9a.png,久凡,61,28,45.9%,4.8(0.7 / 2 / 7),0.7,2,7,7598.2,461.5,15%,27152.8,1561.1,8.7%,58.4%,93363.1,4784.3,25.5%,0,0.7%,78.7%,00:17:07
76,https://smobatv-pic.tga.qq.com/e9a35c0f92bd12e7ca50af991b5b59a4.png,迷途,61,28,45.9%,3.9(2 / 2.2 / 4),2,2.2,4,11831.8,722.2,23.4%,48689.8,2826.1,15.7%,67.6%,88897.6,3753.6,19.9%,0.5,9.3%,60.9%,00:17:07
77,https://smobatv-pic.tga.qq.com/98b7d418ea608c3f940042b2c9318285.png,笑影,61,28,45.9%,3.9(1.3 / 1.8 / 4.1),1.3,1.8,4.1,8820.6,530.9,18.1%,83904,4822.4,29.7%,164.1%,49334.2,2620.3,14.6%,0.2,3%,68.8%,00:16:59
78,https://smobatv-pic.tga.qq.com/8087dfbdf220f4dbf1c2d8ced3a5faed.png,阿怪,61,28,45.9%,3.8(2 / 2.6 / 4.4),2,2.6,4.4,9188.5,555.4,18.1%,47240.8,2764.9,15.3%,85.4%,101014.9,4993.6,27%,0.8,13.9%,68.3%,00:17:07
79,https://smobatv-pic.tga.qq.com/fbe28816578b5b5dcb758ce547ac5818.png,晚星,24,11,45.8%,3.6(2.2 / 2 / 3.7),2.2,2,3.7,12445.7,705.6,23.3%,57792.8,3160.3,17.4%,75.8%,109936.7,4586.8,25%,1.1,18.7%,70.6%,00:18:08
80,https://smobatv-pic.tga.qq.com/98e4fa9e72db8735209227f4f121b562.png,东方,57,26,45.6%,3.4(1.9 / 2 / 3.4),1.9,2,3.4,8752.3,566,18.5%,45276.5,2778.2,15.5%,82.5%,87612,4588,25.4%,1,17.4%,63.4%,00:15:46
81,https://smobatv-pic.tga.qq.com/7c19f73653eebeb163b7861ce9961e6a.png,花云,68,31,45.5%,4.1(2.5 / 1.5 / 2.9),2.5,1.5,2.9,12185.8,734.6,25%,82239.7,4596.7,28.1%,112%,56037.6,2579.9,14.5%,2.4,45.4%,70%,00:16:55
82,https://smobatv-pic.tga.qq.com/47e30493ec817b2c34cf5c82f5b58d9c.png,幕色,66,30,45.4%,4.6(1.3 / 1.5 / 4.6),1.3,1.5,4.6,8954.9,523.4,17.5%,101989.7,5631.9,33%,189.2%,45423.4,2326.4,12.5%,0.1,1.5%,65.3%,00:17:37
83,https://smobatv-pic.tga.qq.com/fcdd4da0c20422cebc71a35df5a20bfb.png,蓝桉,66,30,45.4%,4.7(2.5 / 1.5 / 3.6),2.5,1.5,3.6,13367.4,778.8,26.1%,93654.3,5127.9,29.7%,113.2%,67230.5,3028.9,16.5%,2.7,47.5%,66.7%,00:17:37
84,https://smobatv-pic.tga.qq.com/9b3cef40ec005b398e2e6c78d733eb70.png,苏沫,66,30,45.4%,3.8(1.6 / 2 / 4.1),1.6,2,4.1,9244.4,544.8,18.2%,37527,2141,12.6%,68.2%,102027.7,4994,27%,0.3,8.8%,64.3%,00:17:37
85,https://smobatv-pic.tga.qq.com/f019291412bf15426a5cbc39afd18591.png,冰尘,66,30,45.4%,5.5(0.5 / 1.3 / 6.3),0.5,1.3,6.3,7302.2,428.3,14.3%,25182,1408.9,8.4%,58.6%,90739,4575,24.4%,0,1.2%,78.1%,00:17:37
86,https://smobatv-pic.tga.qq.com/b01cb2ce26a07a06bc519a6ff847b59a.png,星痕,62,28,45.1%,3.3(1.4 / 2 / 3.7),1.4,2,3.7,8381.7,549.6,18.1%,76101.1,4600.8,25.7%,139.9%,49449.5,2787.1,15.6%,0.1,1.9%,65.6%,00:15:36
87,https://smobatv-pic.tga.qq.com/92b982171748e8d0e08e29d817e4d164.png,不弃,67,30,44.7%,4.7(0.3 / 1.5 / 5.9),0.3,1.5,5.9,7186.5,435,14.8%,25157.3,1437.1,8.8%,59.7%,83956.5,4356.8,24.8%,0.2,4.1%,77.7%,00:16:54
88,https://smobatv-pic.tga.qq.com/8ae1b3437b077613bd309aa15bbee728.png,酷偕,32,14,43.7%,3.5(1.3 / 1.9 / 3.7),1.3,1.9,3.7,8675.7,547.9,17.9%,43129.3,2621,15.4%,86.6%,93694.3,4947.3,29.2%,0.5,14.7%,62.7%,00:16:13
89,https://smobatv-pic.tga.qq.com/1e8f31a72ea4d38212bdbf473c55ee9e.png,梓凡,7,3,42.8%,4.1(3.2 / 2.8 / 3.4),3.2,2.8,3.4,14170.2,762.7,26.1%,53272.1,2773.8,16.6%,63.6%,84873.7,3307.8,17.4%,0.5,5.8%,69.7%,00:18:55
90,https://smobatv-pic.tga.qq.com/926ae6a4e63c48e1ec989ae0df604f0f.png,顾兴,14,6,42.8%,3.5(2 / 1.3 / 2.3),2,1.3,2.3,11787.7,739.1,24.6%,45685.3,2840.5,16.6%,70.3%,82417.7,3635.5,18.6%,0.5,9.4%,58.8%,00:16:28
91,https://smobatv-pic.tga.qq.com/5def77d9d240b0e5fd44cdf3ed78f41d.png,情川,31,13,41.9%,3.5(1 / 1.6 / 3.8),1,1.6,3.8,8286.3,540.2,17.9%,35620.1,2286.4,13.7%,74.8%,93415.3,4851.1,28.5%,0.8,13.9%,70.4%,00:16:13
92,https://smobatv-pic.tga.qq.com/84ebf5c426b75033b4e1df73fbe5cf2a.png,决明,22,9,40.9%,3.6(1 / 1.3 / 3.5),1,1.3,3.5,8862.1,536.2,17.6%,99848.8,5459.9,31.1%,177.2%,42921.9,2230.5,13.2%,0.3,4.6%,57.5%,00:16:60
93,https://smobatv-pic.tga.qq.com/9f4f7b1b8aefb81a33a98c843d4fc3cc.png,九月,40,16,40%,4.2(3 / 1.7 / 2.9),3,1.7,2.9,11360.8,712.7,23.5%,45366.9,2685.2,15.7%,68.3%,77803.4,3146.2,18.3%,0.9,14.8%,64.3%,00:16:38
94,https://smobatv-pic.tga.qq.com/7bcd79d0e0a980c3b116ed2b2a27b0d7.png,林一,5,2,40%,2.7(1.8 / 1.8 / 2.4),1.8,1.8,2.4,12833.4,808.6,26.3%,41055,2481.8,14.6%,55.4%,76414.8,3165.6,18.5%,1,31.3%,57.4%,00:16:23
95,https://smobatv-pic.tga.qq.com/43b28d3e73ace965ee0bd5561258bace.png,秀豆,40,16,40%,4(2.3 / 1.4 / 3.4),2.3,1.4,3.4,12141.6,756.6,25%,89104.4,5230.3,30.5%,121.4%,55297.8,2594,15.4%,2.7,47.1%,62.1%,00:16:38
96,https://smobatv-pic.tga.qq.com/cdd628c5a4e9fffa672d0df64fb110da.png,灵梦,40,16,40%,4.7(1.3 / 1.5 / 4.8),1.3,1.5,4.8,9069.8,565.7,18.7%,88761,5120.1,29.7%,158.5%,45148.4,2363,13.8%,0.3,5.8%,71.2%,00:16:38
97,https://smobatv-pic.tga.qq.com/a21c30d04be583356cb6e8cffb89529e.png,稚念,38,15,39.4%,4.8(0.4 / 1.3 / 5.2),0.4,1.3,5.2,7109.4,431,14.3%,28453.3,1525.7,8.4%,59.5%,71258.4,3641.6,21.6%,0.1,2.4%,78.8%,00:17:21
98,https://smobatv-pic.tga.qq.com/0cdf1dd856cab1fd5475977c82f9d658.png,钎城,38,15,39.4%,4.1(1.7 / 1.1 / 2.9),1.7,1.1,2.9,12387.1,734.8,24.5%,88089.7,4777,27.5%,110.8%,59939.7,2617.5,16%,2.4,45.7%,66.2%,00:17:21
99,https://smobatv-pic.tga.qq.com/7711821e098a9853ce69bd6903b907cc.png,小义,38,15,39.4%,3.9(2.7 / 1.9 / 2.4),2.7,1.9,2.4,12769.9,764.2,25.4%,55972.6,3209,18.6%,74.6%,83710.8,3347.3,19.9%,0.7,10.8%,74.6%,00:17:21
100,https://smobatv-pic.tga.qq.com/268ab209ef89f2aa4bd81b452e9bac26.png,文帝,16,6,37.5%,4.2(1.1 / 1.1 / 3.7),1.1,1.1,3.7,9161.8,529.7,18%,113626,5887.6,33.6%,187%,42583.8,2155.7,12%,0.4,4.7%,72%,00:17:50
101,https://smobatv-pic.tga.qq.com/0af445ace86a94640448d1b6cd810d05.png,小椿,23,8,34.7%,2.7(1.9 / 2.2 / 2.5),1.9,2.2,2.5,11862,750.2,24.4%,42474.4,2650.5,15.3%,62.6%,68462,3080.3,18.1%,0.5,8.5%,61.4%,00:16:32
102,https://smobatv-pic.tga.qq.com/d0f5e9f6fee630bf5519cae6d1da095a.png,无上,3,1,33.3%,2(0 / 1.6 / 3.3),0,1.6,3.3,5697,460,15.3%,23217,1751.4,11.1%,72.4%,89203,6178.2,32.4%,0.6,6.6%,47.3%,00:13:06
103,https://smobatv-pic.tga.qq.com/ab0ad160d0a21ab9186176d1b819da39.png,季节,3,1,33.3%,2.5(2 / 2.6 / 4),2,2.6,4,10830.3,812.3,26.8%,53605.3,3779,18.5%,70.5%,81531,4440.8,20.6%,0,0%,53.6%,00:13:50
104,https://smobatv-pic.tga.qq.com/573ca193e4c832d81953b2245713471e.png,小磊,28,9,32.1%,4(0.7 / 2 / 5),0.7,2,5,6608.7,426.2,14.4%,24547.2,1518.9,9.6%,66.5%,75094.6,4007.4,20.4%,0,0.9%,67%,00:15:55
105,https://smobatv-pic.tga.qq.com/f9506254c198d2d0db3fff0527893892.png,末将,37,11,29.7%,3.7(1.6 / 1.6 / 3.7),1.6,1.6,3.7,8605.8,547.2,18.5%,89828.8,5165.9,29.6%,159.4%,42484.2,2472.5,12.9%,0.2,3.5%,66.1%,00:16:10
106,https://smobatv-pic.tga.qq.com/2ddaf7b8d271e9ed87a458ec48c946bc.png,小年,37,11,29.7%,3.2(2 / 2.1 / 3.3),2,2.1,3.3,11611.5,737.7,24.9%,85532.3,5076.7,29.6%,118.6%,65648.7,3271.7,17.4%,1.9,37.1%,67.5%,00:16:10
107,https://smobatv-pic.tga.qq.com/4d6d01c683acf5694978910995f9a3eb.png,背影,34,10,29.4%,3.4(1 / 2.2 / 4.5),1,2.2,4.5,8263.5,515.1,17.4%,39122.8,2321.4,13.9%,80.5%,95159,5139.6,27%,0.5,9.6%,64.6%,00:16:26
108,https://smobatv-pic.tga.qq.com/8ee4721ed5162f123e89bcc47a30d0e3.png,Qy,34,10,29.4%,3.3(2.2 / 2 / 2.8),2.2,2,2.8,11472.8,717.6,24.2%,49381.1,2865.5,16.9%,70.5%,89982.4,4057.3,21.4%,0.8,21.4%,65.9%,00:16:22
109,https://smobatv-pic.tga.qq.com/35faba2f440631c6314f9aae67c25f83.png,杰杰,7,2,28.5%,3.1(0.7 / 2.5 / 4.4),0.7,2.5,4.4,11070.4,515.1,17.2%,45723.5,2039.9,10.8%,63.8%,153162.7,5709.9,34.4%,0.5,9.5%,79.2%,00:22:21
110,https://smobatv-pic.tga.qq.com/ccdc5c98a1f46ba521ccafd69424f310.png,羲和,23,6,26%,4.3(0.6 / 2.1 / 5.7),0.6,2.1,5.7,6710.9,416.6,14.3%,21032.6,1266,8.1%,56.3%,77915.4,4190.6,22.2%,0.1,2.5%,79.6%,00:16:41
111,https://smobatv-pic.tga.qq.com/dfac89a287fb570f62dbc675d2efd526.png,小七,31,8,25.8%,1.9(1.2 / 2.9 / 3.1),1.2,2.9,3.1,7333.6,492.6,16.8%,38369.5,2495,14.8%,88.4%,90886.2,5230.9,26.6%,0.3,7.8%,54.5%,00:15:27
112,https://smobatv-pic.tga.qq.com/0328bf8c0c2fc7e681a8a9604be62773.png,景青,8,2,25%,1.7(0.7 / 2.6 / 3.2),0.7,2.6,3.2,9192.6,521.6,18.1%,47009,2610.7,15.7%,85.1%,109482.3,5093.5,29.3%,0.3,11.8%,60%,00:18:17
113,https://smobatv-pic.tga.qq.com/561864fc422e0fece270a52885fc8c74.png,小羽,37,9,24.3%,3.4(1.4 / 1.8 / 3.5),1.4,1.8,3.5,8253.6,558.2,19.1%,82713.1,5268.1,30.5%,159.8%,46040.1,2727.1,13.9%,0.2,4%,63.7%,00:15:12
114,https://smobatv-pic.tga.qq.com/9087aab872e1deb4f2346058b31d35cc.png,雨雨,38,9,23.6%,3.5(0.7 / 2.1 / 4.6),0.7,2.1,4.6,6646.7,455.3,15.6%,28351.9,1875.3,11.4%,72.9%,76491.5,4546.1,23.1%,0.3,8.1%,71.2%,00:15:09
115,https://smobatv-pic.tga.qq.com/395506052f0188bda91ff4934838cc93.png,晚秋,38,9,23.6%,2.3(2.2 / 2.7 / 2.1),2.2,2.7,2.1,10290,700,23.9%,45639.5,2930.5,17.7%,74.8%,79488.3,4020.7,20.5%,0.4,10.5%,61.1%,00:15:09
116,https://smobatv-pic.tga.qq.com/2a64c518a7e4aeff978597d3011b75f4.png,冰冰,38,9,23.6%,2.7(1.7 / 2.9 / 3.3),1.7,2.9,3.3,10681.2,728.8,24.9%,67204.8,4362.8,26.1%,104.4%,59638.9,3236.3,16.7%,2.2,47.7%,67.5%,00:15:09
117,https://smobatv-pic.tga.qq.com/fb08390611f294a193e26c089a9e9b46.png,十三,9,2,22.2%,2.5(0.5 / 2.8 / 5.2),0.5,2.8,5.2,7531.7,465.8,15.5%,40578.2,2215.8,10.3%,67.2%,81096.2,4504.5,21.5%,0.1,1.1%,71.3%,00:16:57
118,https://smobatv-pic.tga.qq.com/c6c83917fb46d8108f687c23fb495959.png,Zero,7,1,14.2%,3.2(0.5 / 2.4 / 3.8),0.5,2.4,3.8,5616.8,419.5,14.7%,25468.2,1774.4,12.4%,85.1%,54692.5,3703.7,20.5%,0.2,6.3%,76.5%,00:13:52
119,https://smobatv-pic.tga.qq.com/8b0f78f3be042c62fb792803c864b2e2.png,凌然,1,0,0%,0.3(0 / 3 / 1),0,3,1,5717,357,13.6%,15805,960.7,9.3%,68.3%,79977,4515.1,32.7%,0,0%,100%,00:16:27
120,https://smobatv-pic.tga.qq.com/8f3b2498ca11603c682a4ce871587728.png,傲神,1,0,0%,0.3(0 / 4 / 1),0,4,1,6248,624,22.4%,22290,2067,14.5%,64.7%,55877,3929.5,19.3%,0,0%,20%,00:10:47
121,https://smobatv-pic.tga.qq.com/c529fe40d81172675488bc947ac0110d.png,秋沫,1,0,0%,2(2 / 3 / 4),2,3,4,9687,484,16.9%,95139,4557.6,25.2%,148.4%,58292,2702.1,13.1%,0,0%,66%,00:20:53
122,https://smobatv-pic.tga.qq.com/e85acf88871122e934de841cae2021e4.png,可豪,1,0,0%,0.8(2 / 6 / 3),2,6,3,15300,765,26.8%,69835,3345.4,18.5%,69%,135219,4490.9,21.7%,1,20%,55%,00:20:53
123,https://smobatv-pic.tga.qq.com/54deb50c5315d2e18ef58fbeaf1f1778.png,Best,1,0,0%,2(1 / 5 / 9),1,5,9,8074,403,13.1%,30368,1459,7.6%,58.4%,131263,5888.8,26.4%,0,0%,71%,00:20:49
124,https://smobatv-pic.tga.qq.com/7cc6c9642247d873cdee6a140a3beebf.png,话诗,2,0,0%,0.7(0 / 1.5 / 1),0,1.5,1,5851.5,439.5,16.4%,55907.5,4098.7,31.4%,189.3%,26927.5,1857.2,10.4%,0,0%,66.5%,00:13:50
125,https://smobatv-pic.tga.qq.com/5b4d1e1ddbb7294001b2120b5aa7662c.png,小求,1,0,0%,0.8(1 / 5 / 3),1,5,3,6918,532,18.4%,38549,2900.3,18.4%,100%,48216,3439.6,15.8%,0,0%,50%,00:13:18
